S,Feedback,Sentiment
851,"This is an excellent tool, especially when paired with your phone's auto-answer.",1
410,I'll be looking for a new earpiece.,0
476,"Uncomfortable In the Ear, Don't use with LG VX9900 (EnV).",0
130,It is so small and you don't even realize that it is there after a while of getting used to it.,1
570,"My experience was terrible..... This was my fourth bluetooth headset, and while it was much more comfortable than my last Jabra (which I HATED!!!",0
236,best bluetooth on the market.,1
294,The voice recognition thru the handset is excellent.,1
531,They refuse to refund or replace.,0
844,It's not what it says it is.,0
280,"Good product, good seller.",1
19,It clicks into place in a way that makes you wonder how long that mechanism would last.,0
260,Good product - incredible value.,1
50,Not loud enough and doesn't turn on like it should.,0
519,I am not impressed with this and i would not recommend this item to anyone.,0
477,The volume switch rocketed out of the unit to a destination unknown.,0
251,O my gosh the best phone I have ever had.,1
667,"Looks good in the picture, but this case was a huge disappointment!!",0
695,Do NOT buy if you want to use the holster.,0
602,Those phones are working just fine now.,1
587,Also difficult to put on.I'd recommend avoiding this product.,0
621,DO NOT BUY DO NOT BUYIT SUCKS,0
538,The eargels channel the sound directly into your ear and seem to increase the sound volume and clarity.,1
234,Really pleased with this product so far.,1
454,I've also had problems with the phone reading the memory card in which I always turn it on and then off again.,0
198,The pleather case doesn't fit.,0
964,It's pretty easy.,1
77,This is a great little item.,1
446,Does not fit.,0
26,I've owned this phone for 7 months now and can say that it's the best mobile phone I've had.,1
993,disappointed.,0
684,Chinese Forgeries Abound!.,0
766,"But now that it is ""out of warranty"" the same problems reoccure.Bottom line... put your money somewhere else... Cingular will not support it.",0
301,Now I know that I made a wise decision.,1
286,I wouldn't recommend buying this product.,0
634,"Not only did the software do a great job of this, I could also make my own ringtones form my existing CDs without an internet connection.",1
883,WARNING - DO NOT BUY!!.,0
904,Problem is that the ear loops are made of weak material and break easily.,0
646,Phone is sturdy as all nokia bar phones are.,1
385,The worst piece of crap ever along with the Verizon customer service.,0
273,I gave it 5 stars because of the sound quality.,1
84,"This item worked great, but it broke after 6 months of use.",0
39,worthless product.,0
826,Not as good as I had hoped.,0
427,"Another note about this phone's appearance is that it really looks rather bland, especially in the all black model.",0
788,"It's a great tool for entertainment, communication, and data management.Oh, be sure to use ActiveSync 4.2 for optimal data synchronization results!",1
361,"Also, if your phone is dropped, this case is not going to save it, specially when dropped face down.",0
444,"I would recommend purchasing the Jabra JX-10 series 2 which works flawlessly with my Moto Q, go figure.",1
67,It feels more comfortable than most headsets because I wear glasses and that gets in the way sometimes.,1
859,"Terrible product, and waste of money!",0
374,Not a good item.. It worked for a while then started having problems in my auto reverse tape player.,0
197,Bad Choice.,0
558,Virgin Wireless rocks and so does this cheap little phone!,1
928,Makes it easier to keep up with my bluetooth when I'm not wearing it.,0
423,I'm using it with an iriver SPINN (with case) and it fits fine.,1
798,$50 Down the drain.,0
277,Very good phone.,1
275,Reversible plug works great.,1
642,"Obviously they have a terrible customer service, so you get what you pay for.",0
329,Rip off---- Over charge shipping.,0
910,"Good show, Samsung.",1
150,I Was Hoping for More.,0
408,Plantronics Bluetooth Excelent Buy.,1
588,"I only used it two days, and it wasn't always easy to hear with.",0
697,It doesn't make you look cool.,0
342,A PIECE OF JUNK THAT BROKE AFTER BEING ON MY PHONE FOR 2 DAYS!!!,0
752,Blue Ant is easy to use.,1
578,It does everything the description said it would.,1
534,Great case and price!,1
414,After a year the battery went completely dead on my headset.,0
880,"The bottowm line...another worthless, cheap gimmick from Sprint.",0
706,So anyone near you will hear part of your conversation.,0
946,I have had mine for about a year and this Christmas I bought some for the rest of the family.,1
320,I am also very happy with the price.,1
7,If you are Razr owner...you must have this!,1
284,I got it because it was so small and adorable.,1
784,I don't think it would hold it too securly on your belt.,0
299,Battery life still not long enough in Motorola Razor V3i.,0
923,cool phone.,1
156,"Nice quality build, unlike some cheap s*** out there.",1
700,"Also, the phone doesn't seem to accept anything except CBR mp3s, preferably ripped by Windows Media Player.",0
845,Stay Away From the Q!.,0
352,"Comfortable, Nice Range, Good Battery Life.",1
412,Jawbone Era is awesome too!,1
566,Cumbersome design.,0
968,This company charge me a restocking fee and still not given me my refund back.,0
162,This is essentially a communications tool that does not communicate.,0
850,It looks very nice.,1
730,This product is great... it makes working a lot easier I can go to the copier while waiting on hold for something.,1
816,Product is exactly as described.,1
829,Really good product.,1
567,"Great it was new packaged nice works good, no problems and it came in less time then I expected!!!!",1
619,Worked very well paired with a Treo 700w and as a Skype headset on my PC (using a USB Bluetooth transceiver).,1
4,The mic is great.,1
732,T-Mobile has the best customer service anywhere.,1
191,Any ring tone..Overall good phone to buy..,1
285,Great phone!.,1
24,I bought it for my mother and she had a problem with the battery.,0
944,I does not maintain a connection with the computer while it is on my lap.,0
437,Awsome Device Works Great!!.,1
632,I did not have any problem with this item and would order it again if needed.,1
940,A lot of websites have been rating this a very good phone and so do I.,1
679,The volume for the ringer is REAL good (you have choices how loud).,1
678,"It works fine on my Motorola 325 cellphone, and a lot better than the worn-out battery did.",1
442,They made this case too small and is very difficult to install.,0
655,"No ear loop needed, it's tiny and the sound is great.",1
378,"Clear Skype Calls, Long Battery Life, Long Range.",1
516,I am very impressed with the job that Motorola did on the sturdiness of this phone.,1
747,This BlueAnt Supertooth hands-free phone speaker is AWESOME.,1
691,Clear crisp sound.,1
537,"Small, sleek, impressive looking, practical setup with ample storage in place.",1
769,Crisp and Clear.,1
555,It's AGGRAVATING!,0
95,Will order from them again!,1
229,I ordered this for sony Ericsson W810i but I think it only worked once (thats when I first used it).,0
755,Then a few days later the a puff of smoke came out of the phone while in use.,0
387,The best phone in market :).,1
975,It is the best charger I have seen on the market yet.,1
939,"I like the fact that it rests lightly against your ear, rather than inside.",1
11,He was very impressed when going from the original battery to the extended battery.,1
888,Don't trust their website and don't expect any helpful support.,0
68,Great for iPODs too.,1
743,"Bought mainly for the charger, which broke soon after purchasing.",0
375,This is so embarassing and also my ears hurt if I try to push the ear plug into my ear.,0
800,"Good , works fine.",1
384,Magical Help.,1
846,Used and dirty.,0
492,"I would definitely recommend the Jabra BT250v for those who are looking for comfort, clarity and a great price!",1
550,"I love the camera, it's really pretty good quality.",1
680,And none of the tones is acceptable.,0
132,Headset works great & was packaged nicely to avoid any damage.,1
616,Poor product.,0
585,"It feels poorly constructed, the menus are difficult to navigate, and the buttons are so recessed that it is difficult to push them.",0
225,These are certainly very comfortable and functionality is decent.,1
848,Not good enough for the price.,0
224,There's a horrible tick sound in the background on all my calls that I have never experienced before.,0
349,"I was sitting in my vehicle, with the cradle on my belt, and the headset lost signal.",0
529,Razr Battery - Good buy.,1
822,I have been very satisfied with this cell phone from day one.,1
261,Only had this a month but it's worked flawlessly so far.,1
713,"jabra ear gels ""R"" the best!.",1
808,2 thumbs up to this seller,1
705,I love this cable - it allows me to connect any mini-USB device to my PC.,1
497,Save your money.... I've had this item for 11 months now.,0
626,Don't make the same mistake that I did and please don't buy this phone.,0
614,the worst phone from samsung...crap..... this crappy Samsung E715.. is the worst i have ever seeen.,0
382,Same problem as others have mentioned.,0
185,Incredible!.,1
617,However I needed some better instructions.,0
313,Phone now holds charge like it did when it was new.,1
921,It also had a new problem.,0
256,"The cable looks so thin and flimsy, it is scary.",0
90,"For a product that costs as much as this one does, I expect it to work far better and with greater ease than this thing does.",0
551,Thank you for such great service.,1
279,Comfort for our whole family.,1
594,Better Than New.,1
276,I wasted my little money with this earpiece.,0
355,"The loudspeaker option is great, the bumpers with the lights is very ... appealing.",0
717,"Unfortunately it will not recharge my iPhone 4s, despite connecting it from multiple power sources (iMac, external battery, wall outlet, etc).",0
491,"It is super charged up for use as a small hybrid palmtop/camera/cellphone, and excels in those roles.",1
128,"I've only had my bluetooth for a few weeks, but I really like it.",1
160,"All I can do is whine on the Internet, so here it goes.The more I use the thing the less I like it.",0
711,"It lasts less than 3o minutes, if I actually try to use the phone.My wife has the same phone with the same problem.",0
782,Treo and T-Mobile refused to replace it again and forced me to buy another phone without any kind of upgrade discount.,0
613,I was amazed at the quick arrival of the two original lg cell phone batteries and and at a fraction of the price.,1
951,Very much disappointed with this company.,0
754,The camera on the phone may be used as a dustpan when indoors... I'd rather be using a disposable then this.,0
881,Having trouble with volume.,0
901,Terrible phone holder.,0
217,"I also didn't like the ""on"" button, it felt like it would crack with use.",0
546,Worst software ever used.... If I could give this zero stars I would.,0
838,"Reaching for the bottom row is uncomfortable, and the send and end keys are not where I expect them to be.3.",0
401,Very prompt service.,1
190,The replacement died in a few weeks.,0
636,These are fabulous!,1
237,Authentic leather with nice shine and comfort .I recommend you this case !!,1
657,"The handsfree part works fine, but then the car tries to download the address book, and the Treo reboots.Overall, I still rate this device high.",1
70,Mic Doesn't work.,0
787,It is simple to use and I like it.,1
142,I was not happy with this item.,0
581,"Verizon tech support walked my through a few procedures, none of which worked and I ended up having to do a hard re-set, wiping out all my data.",0
335,1. long lasting battery (you don't have to recharge it as frequentyly as some of the flip phones)2.,0
776,I highly recommend this case.,1
514,"very good product, well made.",1
27,I didn't think that the instructions provided were helpful to me.,0
25,Great Pocket PC / phone combination.,1
445,"I searched the Internet, and found this one to be the best value.",1
718,It was a great phone.,1
171,Thank you for wasting my money.,0
228,"I have had this phone for over a year now, and I will tell you, its not that great.",0
463,Disappointed!.,0
799,I tried talking real loud but shouting on the telephone gets old and I was still told it wasn't great.,0
462,Cant get the software to work with my computer.,0
638,I used bitpim (a free program you can find on the internet)to transfer data to the phone.The price of the cable was excellent.,1
